system	goal	target	step	Ecut_Ha	kgrid_n	scf_tol	successive_change	actual_error	cumulative_cost_s
MgO	energy	5.0	4	62.04088831999999	6	1.0000000000000002e-8	0.958603286447511	0.3604437885005961	13.740419705999999
MgO	energy	2.0	1	37.76	3	1.0e-5	531.3491191747793	51.28953937509044	1.089984978
MgO	energy	2.0	2	44.556799999999996	4	1.0000000000000002e-6	44.58013751980399	6.709401855286452	2.639813018
MgO	energy	2.0	3	52.577023999999994	5	1.0000000000000002e-7	5.390354780338345	1.3190470749481071	5.486495854999999
MgO	energy	2.0	4	62.04088831999999	6	1.0000000000000002e-8	0.958603286447511	0.3604437885005961	13.740419705999999
LiF	energy	10.0	1	42.48	3	1.0e-5	156.94944987169407	10.254723681882014	0.877597451
LiF	energy	10.0	2	50.1264	4	1.0000000000000002e-6	9.17174522710657	1.0829784547754435	2.445191939
LiF	energy	10.0	3	59.149151999999994	5	1.0000000000000002e-7	0.7950626011004951	0.28791585367494843	4.316137466
LiF	energy	5.0	1	42.48	3	1.0e-5	156.94944987169407	10.254723681882014	0.877597451
LiF	energy	5.0	2	50.1264	4	1.0000000000000002e-6	9.17174522710657	1.0829784547754435	2.445191939
LiF	energy	5.0	3	59.149151999999994	5	1.0000000000000002e-7	0.7950626011004951	0.28791585367494843	4.316137466
LiF	energy	2.0	1	42.48	3	1.0e-5	156.94944987169407	10.254723681882014	0.877597451
LiF	energy	2.0	2	50.1264	4	1.0000000000000002e-6	9.17174522710657	1.0829784547754435	2.445191939
LiF	energy	2.0	3	59.149151999999994	5	1.0000000000000002e-7	0.7950626011004951	0.28791585367494843	4.316137466
